Camara,Departamento,Municipio,Categoria,Subcategoria,EstadoRNT
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,CENTRO VACACIONAL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,GUIA DE TURISMO,GUIA DE TURISMO,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,AGENCIA DE VIAJES,AGENCIAS DE VIAJES Y DE TURISMO,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,GUARANDA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,GUARANDA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,AGENCIA DE VIAJES,AGENCIAS DE VIAJES Y DE TURISMO,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,AGENCIA DE VIAJES,AGENCIAS DE VIAJES OPERADORAS,ACTIVO
MAGANGUE,SUCRE,GUARANDA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,AGENCIA DE VIAJES,AGENCIAS DE VIAJES Y DE TURISMO,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,AGENCIA DE VIAJES,AGENCIAS DE VIAJES OPERADORAS,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,SUCRE,MAJAGUAL,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,AGENCIA DE VIAJES,AGENCIAS DE VIAJES Y DE TURISMO,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MAGANGUE,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
MAGANGUE,BOLIVAR,MOMPOS,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO
